ObjektNr;Objektname;Baustelle;BaustPLZ;BaustOrt;BaustKanton;BaustBezirk;ReferenzNr;Kurzbeschreibung;Baustadium;BaustadiumDatum;BaustadiumAlt;BaustadiumDatumAlt;Baukosten;Baubeginn;Bauende;AnzWhg;Hauptkategorie;KatCode01;KatText01;KatCode02;KatText02;KatCode03;KatText03;KatCode04;KatText04;KatCode05;KatText05;KatCode06;KatText06;KatCode07;KatText07;KatCode08;KatText08;KatCode09;KatText09;KatCode10;KatText10
3273641;Neubau eines Einfamilienhauses mit integrierter Garage;Käsereiweg;9527;Niederhelfenschwil;SG;Wil;Gst. 1503;Neubau eines Einfamilienhauses mit integrierter Garage (Unternehmer bestimmt);Baubewilligung erteilt;16.04.2024;Baugesuch eingereicht;01.02.2024;0.86 Mio CHF;Ende April 2024;Jan 25;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3273650;Neubau Einfamilienhaus und integrierte Garage;Gallusbergstrasse;9402;Mörschwil;SG;Rorschach;Gst. 1900;Neubau Einfamilienhaus und integrierte Garage;Baubewilligung erteilt;12.07.2024;Baugesuch eingereicht;01.02.2024;1.20 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3273653;Abbruch Einfamilienhaus;Gstaldenstrasse 13;9442;Berneck;SG;Rheintal;Gst. 390, 391;Abbruch Einfamilienhaus;Baubewilligung erteilt;29.07.2024;Baugesuch eingereicht;01.02.2024;0.03 Mio CHF;Aug 24;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3273656;Neubau Einfamilienhaus mit integrierter Garage;Gmeindstrasse;9462;Montlingen;SG;Rheintal;Gst. 6250;Neubau Einfamilienhaus mit integrierter Garage;Baubewilligung erteilt;10.04.2024;Baugesuch eingereicht;01.02.2024;1.10 Mio CHF;Apr 24;Nov 24;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3273658;Neubau eines Einfamilienhauses mit integrierter Garage;Husrietstrasse 5;7320;Sargans;SG;Sarganserland;Parz. 1277;Neubau eines Einfamilienhauses mit integrierter Garage;Baubewilligung erteilt;18.06.2024;Baugesuch eingereicht;01.02.2024;0.90-1.00 Mio CHF;10.06.2024;Ende Dezember 2024;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3273681;Aufstockung Einfamilienhaus und Anbau Sitzplatz;Trogenerstrasse 42;9450;Altstätten SG;SG;Rheintal;Gst. 2368;Aufstockung Einfamilienhaus und Anbau Sitzplatz;Baubewilligung erteilt;05.03.2024;Baugesuch eingereicht;01.02.2024;0.40 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3273691;Erweterung Keller bei Einfamilienhaus und Sitzplatzüberdachung;Scheffelstrasse 13;9400;Rorschach;SG;Rorschach;Gst. 1761;Erweterung Keller bei Einfamilienhaus und Sitzplatzüberdachung, Arbeiten vergeben;Baubewilligung erteilt;09.04.2024;Baugesuch eingereicht;01.02.2024;0.10 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3273705;Sanierung und Aufstockung Dachgeschoss bei Einfamilienhaus;Wiggenrainstrasse 9;9404;Rorschacherberg;SG;Rorschach;Gst. 1269;Sanierung und Aufstockung Dachgeschoss bei Einfamilienhaus;Baubewilligung erteilt;13.03.2024;Baugesuch eingereicht;01.02.2024;0.14 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3273995;Wohnraumerweiterung bei Doppeleinfamilienhausteil;Sonnenbergstrasse 18;9524;Zuzwil SG;SG;Wil;GS 1582;Wohnraumerweiterung bei Doppeleinfamilienhausteil;Baubewilligung erteilt;10.04.2024;Baugesuch eingereicht;02.02.2024;0.12 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3274292;Umbau und Sanierung Einfamilienhaus;Unterrainstrasse 9d;7310;Bad Ragaz;SG;Sarganserland;Parz. 816;Umbau und Sanierung Einfamilienhaus;Baubewilligung erteilt;08.05.2024;Baugesuch eingereicht;29.01.2024;0.30-0.40 Mio CHF;Jun 24;Aug 24;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3274345;Neubau Einfamilienhaus mit Doppelgarage;Unterdorfstrasse 5;9621;Oberhelfenschwil;SG;Toggenburg;Gst. 10180;Neubau Einfamilienhaus mit Doppelgarage;Baubewilligung erteilt;20.03.2024;Baugesuch eingereicht;31.01.2024;0.82 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1313;Garagen / Fertiggaragen;;;;;;;;;;;;;;;;
3275696;Umbau/Sanierung Gewerbehalle und Umgebungsgestaltung;Industriestrasse 6;9300;Wittenbach;SG;St. Gallen;Gst. 2448;Umbau/Sanierung Gewerbehalle und Umgebungsgestaltung;Baubewilligung erteilt;22.07.2024;Baugesuch eingereicht;09.02.2024;2.00 Mio CHF;;;1;Industrie und Gewerbe;380;Betriebs- und Gewerbebauten;380;Betriebs- und Gewerbebauten;;;;;;;;;;;;;;;;
3275697;Umbau und Sanierung Einfamilienhaus;Schwendistrasse 4;9633;Bächli (Hemberg);SG;Toggenburg;Gst. 1091;Umbau und Sanierung Einfamilienhaus;Baubewilligung erteilt;15.05.2024;Baugesuch eingereicht;07.02.2024;0.15 Mio CHF;06.05.2024;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3275698;Erweiterung Einfamilienhaus mit gedecktem Sitzplatz;Riedernstrasse 62;9230;Flawil;SG;Wil;Gst. 2049;Erweiterung Einfamilienhaus mit gedecktem Sitzplatz;Baubewilligung erteilt;15.03.2024;Baugesuch eingereicht;09.02.2024;0.26 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3275699;Fassadensanierung mit Einbau Zwischenboden bei Einfamilienhaus;Bächlistrasse 31;9633;Bächli (Hemberg);SG;Toggenburg;Gst. 650;Fassadensanierung mit Einbau Zwischenboden bei Einfamilienhaus;Baubewilligung erteilt;30.05.2024;Baugesuch eingereicht;07.02.2024;0.05 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3275704;Aufstockung Einfamilienhaus, Anbau Unterstand/Vordach;Lee 1422;9304;Bernhardzell;SG;St. Gallen;Gst. 1848;Aufstockung Einfamilienhaus, Anbau Unterstand/Vordach;Baubewilligung erteilt;15.05.2024;Baugesuch eingereicht;05.02.2024;0.20 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1314;Carports und Abstellplätze;;;;;;;;;;;;;;;;
3275705;Neubau kleines Wohnhaus;Lee;9304;Bernhardzell;SG;St. Gallen;Gst. 1832;Neubau kleines Wohnhaus (Unternehmer bestimmt);Baubewilligung erteilt;16.05.2024;Baugesuch eingereicht;05.02.2024;0.13 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3275708;Umnutzung Lager in Fitnessfläche und Neubau Parkplätze;Industriestrasse 67;9443;Widnau;SG;Rheintal;Parz. 2906, 2932;Umnutzung Lager in Fitnessfläche und Neubau Parkplätze;Baubewilligung erteilt;15.05.2024;Baugesuch eingereicht;07.02.2024;0.45 Mio CHF;06.05.2024;Jul 24;1;Freizeit, Sport, Erholung;1290;Fitnesscenter/-raum;1311;Parkplätze;;;;;;;;;;;;;;;;
3275712;Einbau Wohnung in Garage, Einbau Swimmingpool;Plattenstrasse 5.1, 5.2;7312;Pfäfers;SG;Sarganserland;Gst. 1683;Einbau Wohnung in Garage, Einbau Swimmingpool;Baubewilligung erteilt;06.06.2024;Baugesuch eingereicht;05.02.2024;0.15 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);116;Wohnungen;1231;Swimmingpools, Jacuzzi;;;;;;;;;;;;;;;;
3275723;Energetische Fassadensanierung West bei Einfamilienhaus;Villier 2202;9472;Grabserberg;SG;Werdenberg;Parz. 3644;Energetische Fassadensanierung West bei Einfamilienhaus (L-Zone);Baubewilligung erteilt;30.05.2024;Baugesuch eingereicht;05.02.2024;0.10 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3275725;Neubau Einfamilienhaus;Gafadurastrasse 11;8884;Oberterzen;SG;Sarganserland;Gst. 2098;Neubau Einfamilienhaus;Baubewilligung erteilt;16.04.2024;Baugesuch eingereicht;31.01.2024;0.90 Mio CHF;Mai 24;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3275727;Energetische Dachsanierung bei Einfamilienhaus;Kleinfeld;8887;Mels;SG;Sarganserland;Parz. 3352;Energetische Dachsanierung bei Einfamilienhaus (Unternehmer bestimmt);Baubewilligung erteilt;13.03.2024;Baugesuch eingereicht;08.02.2024;0.10 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3276237;Sanierung Fassaden und Dach bei Einfamilienhaus, Anbau einer Garage;Fränzerenstrasse 17;9434;Au SG;SG;Rheintal;Parz. 1705;Sanierung Fassaden und Dach bei Einfamilienhaus, Anbau einer Garage;Baubewilligung erteilt;12.04.2024;Baugesuch eingereicht;13.02.2024;0.10 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1313;Garagen / Fertiggaragen;;;;;;;;;;;;;;;;
3276240;Neubau Einfamilienhaus;Büntstrasse;9442;Berneck;SG;Rheintal;Parz. 2237;Neubau Einfamilienhaus;Baubewilligung erteilt;05.06.2024;Baugesuch eingereicht;13.02.2024;0.75 Mio CHF;Aug 24;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3276241;Neubau Einfamilienhaus;Büntstrasse;9442;Berneck;SG;Rheintal;Parz. 2236;Neubau Einfamilienhaus;Baubewilligung erteilt;08.05.2024;Baugesuch eingereicht;13.02.2024;0.75 Mio CHF;Aug 24;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3276262;Neubau Einfamilienhaus und angebaute Garage;Tanzhausstrasse 2b;9658;Wildhaus;SG;Toggenburg;Parz.;Neubau Einfamilienhaus und angebaute Garage;Baubewilligung erteilt;28.03.2024;Baugesuch eingereicht;13.02.2024;0.95 Mio CHF;Juni / Juli 2024;Mai 25;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1313;Garagen / Fertiggaragen;;;;;;;;;;;;;;;;
3276377;Umbau und Sanierung Einfamilienhaus;Kaustrasse 165;9050;Appenzell;AI;Appenzell I.Rh.;Parz. 1227;Umbau und Sanierung Einfamilienhaus;Baubewilligung erteilt;16.04.2024;Baugesuch eingereicht;14.02.2024;0.55 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3276388;Umbau Einfamilienhaus und Anbau Terrassen;Schmidhusen 11;9100;Herisau;AR;Hinterland;Gst. 3653;Umbau Einfamilienhaus und Anbau Terrassen (Unternehmer bestimmt);Baubewilligung erteilt;09.04.2024;Baugesuch eingereicht;14.02.2024;0.80 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3276437;Neubau Einfamilienhaus mit integrierter Garage;Seeblickstrasse 52;8738;Uetliburg SG;SG;See-Gaster;Parz. 1195;Neubau Einfamilienhaus mit integrierter Garage;Baubewilligung erteilt;29.05.2024;Baugesuch eingereicht;14.02.2024;3.00 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3276443;Neubau Einfamilienhaus mit Gartenhaus und Einstellgarage;Klosterweidlistrasse 28;9010;St. Gallen;SG;St. Gallen;Parz.;Neubau Einfamilienhaus mit Gartenhaus und Einstellgarage;Baubewilligung erteilt;29.04.2024;Baugesuch eingereicht;14.02.2024;1.50 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;411;Gartenhäuser / Pavillons;1313;Garagen / Fertiggaragen;;;;;;;;;;;;;;
3276449;Sanierung Einfamilienhaus;Scherrer 3103;9630;Wattwil;SG;Toggenburg;Parz. 2298;Sanierung Einfamilienhaus (L-Zone);Baubewilligung erteilt;18.06.2024;Baugesuch eingereicht;14.02.2024;0.20 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3276902;Umbau und Sanierung Einfamilienhaus;Halden;9063;Stein AR;AR;Hinterland;Parz. 953;Umbau und Sanierung Einfamilienhaus (L-Zone);Baubewilligung erteilt;08.05.2024;Baugesuch eingereicht;16.02.2024;0.50 Mio CHF;Jun 24;Mär 25;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3276903;Umbau und Renovation Einfamilienhaus;Ob dem Dorf 242;9105;Schönengrund;AR;Hinterland;Gst. 263;Erweiterung und Renovation Einfamilienhaus;Baubewilligung erteilt;16.04.2024;Baugesuch eingereicht;16.02.2024;0.20 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3277113;Um- und Anbau Einfamilienhaus;Sonnenbergstrasse 12;9113;Degersheim;SG;Wil;Parz. 120;Um- und Anbau Einfamilienhaus;Baubewilligung erteilt;31.05.2024;Baugesuch eingereicht;16.02.2024;0.72 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3277118;Sanierung Fassade bei Einfamilienhaus;Thuraustrasse 62;9642;Ebnat-Kappel;SG;Toggenburg;Parz.;Sanierung Fassade bei Einfamilienhaus (Unternehmer bestimmt/wünschen keine Offertanfragen);Baubewilligung erteilt;31.05.2024;Baugesuch eingereicht;16.02.2024;0.10 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3277127;Sanierungen Fenster Häuser 4, 5;Hof Oberkirch 4, 5;8722;Kaltbrunn;SG;See-Gaster;Parz. 220;Sanierungen Fenster Häuser 4, 5;Baubewilligung erteilt;30.08.2024;Baugesuch eingereicht;16.02.2024;0.17-0.18 Mio CHF;;;1;Unterricht, Bildung und Forschung;240;Mittelschulen und Gymnasien;250;Heilpädagogische Schulen/Sonderschulen;;;;;;;;;;;;;;;;
3277141;Neubau Einfamilienhaus mit Carport;Churfirstenstrasse 9b;7320;Sargans;SG;Sarganserland;Parz.  1497;Neubau Einfamilienhaus mit Carport (neue Eingabe);Baubewilligung erteilt;01.05.2024;Baugesuch eingereicht;16.02.2024;0.91 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1314;Carports und Abstellplätze;;;;;;;;;;;;;;;;
3277154;Neubau Einfamilienhaus mit Schwimmbad und Autounterstand;Widen 10;9467;Frümsen;SG;Werdenberg;Parz. 3994;Neubau Einfamilienhaus mit Schwimmbad und Autounterstand;Baubewilligung erteilt;30.05.2024;Baugesuch eingereicht;16.02.2024;0.80-1.00 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1231;Swimmingpools, Jacuzzi;1314;Carports und Abstellplätze;;;;;;;;;;;;;;
3277183;Neubau Einfamilienhaus mit Pergola und Swimmingpool;Vogelsbergstrasse 3a;9240;Uzwil;SG;Wil;Parz. 4449;Neubau Einfamilienhaus mit Pergola und Swimmingpool;Baubewilligung erteilt;22.07.2024;Baugesuch eingereicht;16.02.2024;1.30 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;411;Gartenhäuser / Pavillons;1231;Swimmingpools, Jacuzzi;;;;;;;;;;;;;;
3277518;Innenumbau und Teilfassadensanierung Einfamilienhaus;Hinterdorfstrasse  9;9607;Mosnang;SG;Toggenburg;Parz. 16;Innenumbau und Teilfassadensanierung Einfamilienhaus;Baubewilligung erteilt;23.07.2024;Baugesuch eingereicht;19.02.2024;0.25 Mio CHF;26.07.2024;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3277520;Umbau Dach und Photovoltaikanlage bei Einfamilienhaus;Hoffeldstrasse 7;9114;Hoffeld;SG;Toggenburg;Parz. 1314;Umbau Dach und Photovoltaikanlage bei Einfamilienhaus;Baubewilligung erteilt;29.08.2024;Baugesuch eingereicht;19.02.2024;0.06 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3277738;Dachsanierung Zwischenteil bei einer Wohnung;Rorschacherstrasse 102;9450;Lüchingen;SG;Rheintal;Parz. 6329;Dachsanierung Zwischenteil bei einer Wohnung (Unternehmer bestimmt);Baubewilligung erteilt;27.03.2024;Baugesuch eingereicht;20.02.2024;0.10 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3277739;Umbau und Sanierung Bauernhaus und Umbau Scheune in Remise;Stuckgasse 13;9450;Lüchingen;SG;Rheintal;Parz. 1572;Umbau und Sanierung Bauernhaus und Umbau Scheune in Remise (L-Zone);Baubewilligung erteilt;03.09.2024;Baugesuch eingereicht;20.02.2024;0.75 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);115;Bauernhäuser;115;Bauernhäuser;410;Schuppen und Hütten;;;;;;;;;;;;;;
3277741;Neubau Einfamilienhaus mit Autounterstand;Rüdenstrasse 36;9442;Berneck;SG;Rheintal;Parz. 2231;Neubau Einfamilienhaus mit Autounterstand;Baubewilligung erteilt;01.05.2024;Baugesuch eingereicht;20.02.2024;0.70-0.80 Mio CHF;Anfangs Juni 2024;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1314;Carports und Abstellplätze;;;;;;;;;;;;;;;;
3277742;Neubau Einfamilienhaus mit Garage;Rüdenstrasse 34;9442;Berneck;SG;Rheintal;Parz. 2232;Neubau Einfamilienhaus mit Garage;Baubewilligung erteilt;01.05.2024;Baugesuch eingereicht;20.02.2024;0.92 Mio CHF;Anfangs Juni 2024;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1313;Garagen / Fertiggaragen;;;;;;;;;;;;;;;;
3277744;Ersatzneubau Einfamilienhaus;Sigristenberg 946;9473;Gams;SG;Werdenberg;Parz. 487;Ersatzneubau Einfamilienhaus (L-Zone);Baubewilligung erteilt;11.07.2024;Baugesuch eingereicht;20.02.2024;0.80 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3277752;Neubau Einfamilienhaus mit integrierter Garage;Kühlhausstrasse 6;9451;Kriessern;SG;Rheintal;Parz. 3709;Neubau Einfamilienhaus mit integrierter Garage;Baubewilligung erteilt;16.04.2024;Baugesuch eingereicht;20.02.2024;0.78 Mio CHF;Jun 24;Sep 24;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3277969;Umbau und Ausbau Dachgeschoss Einfamilienhaus;Säntisstrasse 4;9607;Mosnang;SG;Toggenburg;Parz. 985;Umbau und Ausbau Dachgeschoss Einfamilienhaus (Unternehmer bestimmt);Baubewilligung erteilt;27.05.2024;Baugesuch eingereicht;21.02.2024;0.33 Mio CHF;Ende Juni 2024;Dez 24;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;;;
3278133;Sanierung Fassade Villa Roseck;Rosenbergstrasse 5;9533;Kirchberg SG;SG;Toggenburg;Parz. 935;Sanierung Fassade Villa Roseck;Baubewilligung erteilt;14.08.2024;Baugesuch eingereicht;22.02.2024;0.10 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3278137;Wärmetechnische Sanierung und Erweiterung Wohnraum bei Einfamilienhaus;Harzstrasse 4;9608;Ganterschwil;SG;Toggenburg;Parz. 57;Wärmetechnische Sanierung und Erweiterung Wohnraum bei Einfamilienhaus;Baubewilligung erteilt;08.08.2024;Baugesuch eingereicht;22.02.2024;0.18 Mio CHF;Sep 24;Nov 24;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;
3278455;Umbau Einfamilienhaus und Neubau Schafstall;Weberenstrasse 15, 15a;9050;Appenzell;AI;Appenzell I.Rh.;Parz. 565;Umbau Einfamilienhaus (L-Zone);Baubewilligung erteilt;23.05.2024;Baugesuch eingereicht;23.02.2024;0.50 Mio CHF;27.05.2024;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;430;Stallungen und landwirtschaftliche Produktionsanlagen;;;;;;;;;;;;;;;;
3278864;Energetische Dachsanierung bei Einfamilienhaus;Burgau 1645;9230;Flawil;SG;Wil;Parz. 1162;Energetische Dachsanierung bei Einfamilienhaus (L-Zone);Baubewilligung erteilt;08.08.2024;Baugesuch eingereicht;23.02.2024;0.10 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3279199;Abbruch eines Einfamilienhauses;Weiherstrasse 6;9053;Teufen AR;AR;Mittelland;Gst. 1738;Abbruch eines Einfamilienhauses;Baubewilligung erteilt;31.05.2024;Baugesuch eingereicht;26.02.2024;0.05 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3279217;Umbau und Erweiterung Ferienhaus;Obere Betliserstrasse 31;8873;Amden;SG;See-Gaster;Parz. 1462;Umbau und Erweiterung Ferienhaus;Baubewilligung erteilt;24.09.2024;Baugesuch eingereicht;26.02.2024;0.20-0.3 Mio CHF;Frühling 2025;;1;Wohnen (bis 2 Wohneinheiten);113;Ferienhäuser;113;Ferienhäuser;;;;;;;;;;;;;;;;
3279220;Neubau Einfamilienhaus und angebaute Garage;Falkenstrasse 2;9444;Diepoldsau;SG;Rheintal;Parz. 1175;Neubau Einfamilienhaus und angebaute Garage;Baubewilligung erteilt;01.05.2024;Baugesuch eingereicht;26.02.2024;0.80-1.00 Mio CHF;Ende Mai 2024;Jan 25;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1313;Garagen / Fertiggaragen;;;;;;;;;;;;;;;;
3279225;Neubau Einfamilienhaus;Bontenfeldstrasse 13;9462;Montlingen;SG;Rheintal;Parz. 4489;Neubau Einfamilienhaus;Baubewilligung erteilt;02.05.2024;Baugesuch eingereicht;26.02.2024;0.80-1.00 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3279229;Sanierung und Erweiterung Einfamilienhaus;Büntstrasse 9c;9205;Waldkirch;SG;St. Gallen;Parz. 1884;Sanierung und Erweiterung Einfamilienhaus;Baubewilligung erteilt;13.05.2024;Baugesuch eingereicht;26.02.2024;0.35 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;
3279390;Umbau Einfamilienhaus mit Anbau Carport;Rotzenwil;9313;Muolen;SG;St. Gallen;Parz. 645;Umbau Einfamilienhaus mit Anbau Carport (L-Zone);Baubewilligung erteilt;21.08.2024;Baugesuch eingereicht;27.02.2024;0.40 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1314;Carports und Abstellplätze;;;;;;;;;;;;;;;;
3279398;Wärmetechnische Sanierung bei Einfamilienhaus;Prapafierstrasse 17;9477;Trübbach;SG;Werdenberg;Parz. 533;Wärmetechnische Sanierung bei Einfamilienhaus (Unternehmer bestimmt/wünschen keine Offertanfragen);Baubewilligung erteilt;12.04.2024;Baugesuch eingereicht;27.02.2024;0.30 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;111;Einfamilienhäuser;;;;;;;;;;;;;;
3280325;Neubau Einfamilienhaus mit Garage;Fichtenweg 8;9434;Au SG;SG;Rheintal;Parz. 1867;Neubau Einfamilienhaus mit Garage (regionale Arbeitsvergaben);Baubewilligung erteilt;31.05.2024;Baugesuch eingereicht;01.03.2024;0.79 Mio CHF;Aug 24;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1313;Garagen / Fertiggaragen;;;;;;;;;;;;;;;;
3280332;Aufstockung Einfamilienhaus;Brunnenweg 17;9453;Eichberg;SG;Rheintal;Parz. 716;Aufstockung Einfamilienhaus und Erweiterung Wintergarten;Baubewilligung erteilt;15.05.2024;Baugesuch eingereicht;01.03.2024;0.20 Mio CHF;Aug 24;Okt 24;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1710;Wintergarten;;;;;;;;;;;;;;;;
3280340;An- / Ausbau Wohnhaus, Anbau Garage;Müliweierstrasse 9;8733;Eschenbach SG;SG;See-Gaster;Parz. 1975;An- / Ausbau Wohnhaus, Anbau Garage;Baubewilligung erteilt;06.06.2024;Baugesuch eingereicht;01.03.2024;0.20 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;111;Einfamilienhäuser;111;Einfamilienhäuser;1313;Garagen / Fertiggaragen;;;;;;;;;;;;
3280380;Einbau Stöckli in best. Scheune;Malerhof 1.3;9304;Bernhardzell;SG;St. Gallen;Parz. 1024;Einbau Stöckli in best. Scheune;Baubewilligung erteilt;20.09.2024;Baugesuch eingereicht;01.03.2024;0.30 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);116;Wohnungen;;;;;;;;;;;;;;;;;;
3281044;Neubau Nebenbau mit Wohnnutzung;Alberweg 20a;9470;Buchs SG;SG;Werdenberg;Parz. 2282;Neubau Nebenbau mit Wohnnutzung;Baubewilligung erteilt;14.05.2024;Baugesuch eingereicht;05.03.2024;0.25 Mio CHF;Jun 24;Herbst 2024;1;Wohnen (bis 2 Wohneinheiten);116;Wohnungen;;;;;;;;;;;;;;;;;;
3281050;Teilumbau / Umnutzung Wohn- und Gewerbeflächen;Toggenburgerstrasse 29;9652;Neu St. Johann;SG;Toggenburg;Parz. 136;Teilumbau / Umnutzung Wohn- und Gewerbeflächen;Baubewilligung erteilt;08.05.2024;Baugesuch eingereicht;05.03.2024;0.40 Mio CHF;;;1;Wohnen (bis 2 Wohneinheiten);116;Wohnungen;380;Betriebs- und Gewerbebauten;;;;;;;;;;;;;;;;
