ObjektNr;Objektname;Baustelle;BaustPLZ;BaustOrt;BaustKanton;BaustBezirk;ReferenzNr;Kurzbeschreibung;Baustadium;BaustadiumDatum;BaustadiumAlt;BaustadiumDatumAlt;Baukosten;Baubeginn;Bauende;AnzWhg;Hauptkategorie;KatCode01;KatText01;KatCode02;KatText02;KatCode03;KatText03;KatCode04;KatText04;KatCode05;KatText05;KatCode06;KatText06;KatCode07;KatText07;KatCode08;KatText08;KatCode09;KatText09;KatCode10;KatText10
3271809;Neubau Grundwasserpumpwerk mit Tiefenbrunnen;Mooswiesstrasse;9200;Gossau SG;SG;St. Gallen;GS 520;Neubau Grundwasserpumpwerk mit Tiefenbrunnen und Erweiterung Pumpwerk an Werkgebäude;Baubewilligung erteilt;15.05.2024;Baugesuch eingereicht;24.01.2024;0.50 Mio CHF;;;;Technische Anlagen;520;Wasseraufbereitungsanlagen;520;Wasseraufbereitungsanlagen;3230;Gas- und Wasserverteilleitungen;;;;;;;;;;;;;;
3271813;Einbau Notstromaggregat mit Tankanlage bei Seewasserwerk;Scheffelstrasse 4;9400;Rorschach;SG;Rorschach;Gst. 14;Einbau Notstromaggregat mit Tankanlage bei Seewasserwerk;Baubewilligung erteilt;09.04.2024;Baugesuch eingereicht;24.01.2024;0.55 Mio CHF;;;;Technische Anlagen;520;Wasseraufbereitungsanlagen;;;;;;;;;;;;;;;;;;
3271818;Teil-Abbruch bestehender Werkstatt;Oberrieterstrasse 83;9450;Altstätten SG;SG;Rheintal;Gst. 5043;Teil-Abbruch bestehender Werkstatt;Baubewilligung erteilt;27.03.2024;Baugesuch eingereicht;24.01.2024;0.10 Mio CHF;;;;Technische Anlagen;590;Autogewerbe;;;;;;;;;;;;;;;;;;
3271827;Hydrantenleitungserneuerung;Nadigasse / Egelibodenstrasse / Hinderoberdorf;8887;Mels;SG;Sarganserland;Parz. 719, 755;Hydrantenleitungserneuerung;Baubewilligung erteilt;30.04.2024;Baugesuch eingereicht;24.01.2024;0.50 Mio CHF;13.05.2024;19.07.2024;;Infrastrukturbauten;3230;Gas- und Wasserverteilleitungen;;;;;;;;;;;;;;;;;;
3271829;Umbau und Sanierung beim Freizeithaus;Speicherstrasse 112;9000;St. Gallen;SG;St. Gallen;Gst. 2088;Umbau und Sanierung beim Freizeithaus;Baubewilligung erteilt;06.04.2024;Baugesuch eingereicht;24.01.2024;0.18 Mio CHF;;;;Kultur und Geselligkeit;1630;Wohlfahrtshäuser, Klubhäuser und Kulturzentren;1630;Wohlfahrtshäuser, Klubhäuser und Kulturzentren;;;;;;;;;;;;;;;;
3271810;Neubau von 18 Silos mit Befüllleitungen;Giessenstrasse;8717;Benken SG;SG;See-Gaster;Gst. 190, 441;Neubau von 18 Silos mit Befüllleitungen;Baubewilligung erteilt;21.06.2024;Baugesuch eingereicht;24.01.2024;0.22 Mio CHF;;;;Versorgungsbauten;340;Silobauten und Behälter;6610;Silos;;;;;;;;;;;;;;;;
3272160;Neubau Gruppenlaufstall mit Reitplatz und PV-Anlage;Karmaad 1924;9473;Gams;SG;Werdenberg;Parz. 733;Neubau Gruppenlaufstall mit Reitplatz und PV-Anlage;Baubewilligung erteilt;16.05.2024;Baugesuch eingereicht;25.01.2024;0.12 Mio CHF;;;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;1270;Aussenanlagen, Kinderspielplätze und Parkanlagen;;;;;;;;;;;;;;;;
3272520;Neubau Einstellhalle und Velounterstand;Buchen 1266;9242;Oberuzwil;SG;Wil;Gst. 679;Neubau Einstellhalle und Velounterstand, Erweiterung Verdundsteinplatz;Baubewilligung erteilt;06.04.2024;Baugesuch eingereicht;26.01.2024;0.20 Mio CHF;;;;Verkehrsanlagen;1310;Parkhäuser und Einstellhallen;1314;Carports und Abstellplätze;;;;;;;;;;;;;;;;
3272908;Umbau Bäckerei und Ersatzbau Carport;Oberdorfstrasse 14;9606;Bütschwil;SG;Toggenburg;Gst. 229;Umbau Bäckerei und Ersatzbau Carport;Baubewilligung erteilt;02.10.2024;Baugesuch eingereicht;23.01.2024;0.10 Mio CHF;;;;Industrie und Gewerbe;380;Betriebs- und Gewerbebauten;380;Betriebs- und Gewerbebauten;1314;Carports und Abstellplätze;;;;;;;;;;;;;;
3273090;Neubau Erschliessung und Leitungen;Landquart;9305;Berg SG;SG;Rorschach;Parz. 98, 317, 437;Neubau Erschliessung und Leitungen;Baubewilligung erteilt;17.07.2024;Baugesuch eingereicht;29.01.2024;0.10 Mio CHF;;;;Verkehrsbauten;2110;Strassen;3110;Kanalisationen innerorts;3210;Hochspannungsleitungen;3230;Gas- und Wasserverteilleitungen;;;;;;;;;;;;
