BFS-Nr.;Räumliche Ebene;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1726;Wahlkreis See-Gaster;286.692; 374.7 ; 377.9 ; 328.0 ; 366.3 ; 382.3 ; 364.5 ; 341.2 ; 340.6 ; 399.8 ; 383.0 ; 355.7 ; 316.5 ; 245.5 ; 281.5 ; 307.9 ; 372.3 ; 305.5 ; 324.2 ; 341.6 ; 321.9 ; 301.5 ; 332.3 ; 295.3 ; 310.4 ; 264.3 ; 338.0 ; 398.8 ; 437.7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3311;Amden;10.267; 11.8 ; 10.7 ; 10.3 ; 19.2 ; 13.0 ; 12.8 ; 15.1 ; 16.8 ; 19.5 ; 21.8 ; 20.5 ; 18.1 ; 19.2 ; 7.5 ; 11.2 ; 15.4 ; 16.6 ; 10.8 ; 9.3 ; 11.1 ; 12.4 ; 8.7 ; 10.8 ; 12.6 ; 12.5 ; 10.0 ; 8.5 ; 17.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3312;Benken (SG);6.221; 5.4 ; 9.6 ; 8.9 ; 5.5 ; 7.2 ; 13.2 ; 14.3 ; 20.2 ; 21.5 ; 16.0 ; 23.9 ; 23.8 ; 17.6 ; 15.0 ; 23.8 ; 24.5 ; 17.7 ; 21.0 ; 8.7 ; 7.8 ; 12.3 ; 15.0 ; 9.0 ; 8.6 ; 9.9 ; 9.3 ; 7.6 ; 14.2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3342;Eschenbach (SG);47.395; 66.8 ; 53.5 ; 28.3 ; 44.4 ; 49.9 ; 51.5 ; 43.6 ; 41.7 ; 48.3 ; 51.5 ; 60.2 ; 48.8 ; 35.5 ; 43.4 ; 36.3 ; 29.9 ; 39.4 ; 32.3 ; 63.2 ; 82.4 ; 78.4 ; 80.5 ; 72.1 ; 81.4 ; 48.1 ; 49.6 ; 75.8 ; 60.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3341;Gommiswald;42.244; 33.8 ; 41.5 ; 33.2 ; 37.4 ; 45.4 ; 47.5 ; 27.4 ; 25.1 ; 29.2 ; 35.7 ; 14.9 ; 14.5 ; 23.4 ; 17.3 ; 18.6 ; 16.7 ; 15.6 ; 17.7 ; 28.1 ; 17.7 ; 16.9 ; 19.7 ; 25.3 ; 18.3 ; 20.5 ; 26.7 ; 29.9 ; 36.2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3313;Kaltbrunn;13.643; 19.6 ; 28.0 ; 21.5 ; 29.8 ; 25.9 ; 17.1 ; 21.5 ; 16.5 ; 26.8 ; 34.9 ; 46.2 ; 45.6 ; 22.1 ; 12.8 ; 21.5 ; 19.8 ; 14.2 ; 23.2 ; 12.1 ; 7.7 ; 12.1 ; 11.7 ; 13.9 ; 10.9 ; 15.2 ; 19.3 ; 20.0 ; 19.5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3340;Rapperswil-Jona;108.47; 160.7 ; 160.3 ; 147.9 ; 135.8 ; 135.9 ; 138.8 ; 146.0 ; 135.3 ; 141.0 ; 113.8 ; 87.2 ; 88.9 ; 50.7 ; 105.4 ; 108.6 ; 171.2 ; 152.9 ; 131.3 ; 158.5 ; 134.7 ; 120.2 ; 133.7 ; 117.9 ; 94.6 ; 103.7 ; 159.8 ; 160.9 ; 165.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3315;Schänis;19.151; 14.7 ; 10.4 ; 12.3 ; 17.6 ; 18.1 ; 10.8 ; 20.6 ; 23.1 ; 24.0 ; 26.5 ; 20.8 ; 12.0 ; 25.5 ; 13.2 ; 15.9 ; 13.9 ; 12.2 ; 17.5 ; 6.5 ; 8.6 ; 13.5 ; 9.6 ; 11.9 ; 11.9 ; 10.6 ; 13.0 ; 13.8 ; 25.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3338;Schmerikon;3.45; 15.7 ; 25.3 ; 39.8 ; 24.5 ; 13.3 ; 15.0 ; 11.6 ; 20.0 ; 31.0 ; 24.3 ; 15.2 ; 12.7 ; 19.5 ; 15.4 ; 21.8 ; 40.8 ; 9.5 ; 16.7 ; 31.7 ; 26.2 ; 5.7 ; 15.4 ; 6.4 ; 8.8 ; 5.1 ; 11.9 ; 23.2 ; 23.9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3339;Uznach;27.236; 41.5 ; 28.1 ; 18.0 ; 46.9 ; 60.6 ; 33.1 ; 26.9 ; 32.3 ; 50.7 ; 45.9 ; 56.4 ; 42.3 ; 28.6 ; 37.3 ; 39.3 ; 32.7 ; 18.3 ; 41.3 ; 14.5 ; 15.2 ; 20.1 ; 31.0 ; 21.6 ; 57.5 ; 33.2 ; 32.0 ; 45.0 ; 54.0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3316;Weesen;8.615; 4.7 ; 10.5 ; 7.9 ; 5.2 ; 13.1 ; 24.7 ; 14.1 ; 9.6 ; 7.8 ; 12.6 ; 10.4 ; 10.0 ; 3.2 ; 14.2 ; 11.0 ; 7.4 ; 9.0 ; 12.5 ; 9.0 ; 10.4 ; 9.8 ; 7.1 ; 6.4 ; 5.7 ; 5.5 ; 6.4 ; 14.2 ; 22.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1727;Wahlkreis Toggenburg;321.462; 307.5 ; 346.8 ; 356.3 ; 298.7 ; 252.4 ; 253.1 ; 268.6 ; 268.3 ; 237.8 ; 225.8 ; 222.6 ; 242.1 ; 225.8 ; 177.8 ; 168.7 ; 182.4 ; 207.5 ; 221.6 ; 210.5 ; 164.2 ; 177.8 ; 184.5 ; 194.1 ; 218.8 ; 215.3 ; 225.3 ; 246.7 ; 299.6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3395;Bütschwil-Ganterschwil;35.687; 36.6 ; 49.5 ; 58.2 ; 78.0 ; 63.8 ; 54.6 ; 45.8 ; 43.9 ; 38.0 ; 20.6 ; 14.7 ; 20.1 ; 15.5 ; 18.2 ; 19.5 ; 22.6 ; 12.8 ; 13.0 ; 9.2 ; 9.0 ; 10.2 ; 21.7 ; 25.0 ; 19.2 ; 20.7 ; 16.9 ; 22.9 ; 37.9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3352;Ebnat-Kappel;29.298; 21.3 ; 30.5 ; 39.5 ; 26.2 ; 21.1 ; 15.2 ; 20.1 ; 23.8 ; 17.4 ; 25.6 ; 18.7 ; 17.3 ; 15.8 ; 9.8 ; 15.6 ; 21.4 ; 11.2 ; 15.3 ; 19.8 ; 14.0 ; 11.7 ; 11.1 ; 10.1 ; 17.9 ; 16.7 ; 15.4 ; 27.2 ; 23.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3392;Kirchberg (SG);50.369; 57.1 ; 70.9 ; 63.5 ; 58.2 ; 36.7 ; 41.1 ; 65.9 ; 57.2 ; 49.6 ; 47.7 ; 69.4 ; 77.6 ; 67.9 ; 34.7 ; 49.9 ; 41.8 ; 66.7 ; 86.9 ; 72.2 ; 59.7 ; 50.3 ; 42.1 ; 49.5 ; 58.1 ; 38.6 ; 55.3 ; 55.5 ; 74.2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3374;Lichtensteig;19.65; 15.4 ; 16.4 ; 4.2 ; 3.3 ; 5.4 ; 2.6 ; 7.8 ; 5.4 ; 4.0 ; 2.5 ; 4.0 ; 6.0 ; 5.7 ; 2.0 ; 2.0 ; 1.7 ; 7.3 ; 17.0 ; 17.5 ; 3.8 ; 7.8 ; 5.7 ; 5.3 ; 11.7 ; 13.9 ; 14.6 ; 9.8 ; 8.0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3393;Lütisburg;12.98; 6.4 ; 4.1 ; 5.0 ; 6.0 ; 2.6 ; 7.0 ; 13.2 ; 13.1 ; 4.9 ; 7.7 ; 6.8 ; 9.2 ; 11.4 ; 4.5 ; 5.0 ; 2.9 ; 3.5 ; 5.7 ; 5.9 ; 3.4 ; 6.5 ; 6.2 ; 4.8 ; 4.4 ; 13.1 ; 12.0 ; 7.4 ; 4.8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3394;Mosnang;14.716; 17.8 ; 21.9 ; 16.0 ; 16.3 ; 18.9 ; 25.4 ; 26.1 ; 21.1 ; 13.0 ; 14.1 ; 12.7 ; 12.9 ; 14.5 ; 16.9 ; 9.6 ; 22.4 ; 27.0 ; 20.2 ; 11.1 ; 11.7 ; 9.4 ; 11.6 ; 14.1 ; 9.6 ; 25.7 ; 16.6 ; 16.6 ; 22.6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3396;Neckertal;33.538; 28.8 ; 33.6 ; 29.8 ; 24.5 ; 25.0 ; 24.4 ; 25.6 ; 22.0 ; 24.9 ; 35.0 ; 27.9 ; 16.2 ; 12.0 ; 15.6 ; 14.7 ; 19.4 ; 18.8 ; 15.1 ; 13.7 ; 13.0 ; 20.6 ; 18.5 ; 21.8 ; 23.9 ; 24.0 ; 21.4 ; 27.7 ; 34.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3360;Nesslau;29.556; 26.1 ; 27.7 ; 34.7 ; 26.0 ; 20.9 ; 24.8 ; 16.3 ; 27.6 ; 16.8 ; 11.1 ; 16.0 ; 19.8 ; 26.1 ; 15.3 ; 8.3 ; 14.1 ; 11.6 ; 11.4 ; 9.3 ; 16.3 ; 19.8 ; 31.5 ; 21.2 ; 24.1 ; 22.1 ; 15.9 ; 17.0 ; 18.0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3379;Wattwil;77.701; 74.7 ; 72.9 ; 90.1 ; 48.2 ; 45.8 ; 41.8 ; 33.2 ; 33.9 ; 51.5 ; 44.1 ; 42.3 ; 39.8 ; 49.8 ; 45.9 ; 35.2 ; 24.5 ; 39.6 ; 31.1 ; 37.6 ; 19.7 ; 33.0 ; 24.9 ; 27.3 ; 34.0 ; 24.0 ; 44.6 ; 39.1 ; 51.2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3359;Wildhaus-Alt St. Johann;17.967; 23.2 ; 19.4 ; 15.4 ; 12.0 ; 12.2 ; 16.1 ; 14.5 ; 20.2 ; 17.7 ; 17.3 ; 10.1 ; 23.3 ; 7.1 ; 15.0 ; 9.1 ; 11.6 ; 9.1 ; 6.0 ; 14.1 ; 13.7 ; 8.5 ; 11.4 ; 15.0 ; 15.8 ; 16.4 ; 12.6 ; 23.6 ; 25.4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1728;Wahlkreis Wil;359.849; 347.9 ; 318.1 ; 322.1 ; 329.9 ; 327.6 ; 371.3 ; 296.5 ; 302.4 ; 353.7 ; 361.8 ; 333.9 ; 304.5 ; 337.7 ; 306.8 ; 262.9 ; 289.1 ; 347.2 ; 344.7 ; 326.0 ; 258.1 ; 230.7 ; 344.4 ; 305.5 ; 305.7 ; 288.1 ; 321.1 ; 364.9 ; 415.5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3401;Degersheim;14.867; 15.6 ; 14.7 ; 9.8 ; 12.5 ; 6.8 ; 3.4 ; 8.2 ; 6.6 ; 36.1 ; 25.1 ; 25.5 ; 8.9 ; 13.9 ; 22.3 ; 13.3 ; 7.3 ; 13.0 ; 9.3 ; 13.9 ; 4.8 ; 9.8 ; 10.9 ; 10.9 ; 9.6 ; 19.3 ; 27.6 ; 41.4 ; 13.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3402;Flawil;29.76; 27.7 ; 30.3 ; 30.8 ; 34.2 ; 28.5 ; 47.1 ; 44.0 ; 35.2 ; 46.2 ; 37.1 ; 33.5 ; 28.6 ; 31.2 ; 26.8 ; 37.9 ; 36.2 ; 36.5 ; 14.1 ; 35.1 ; 28.6 ; 24.6 ; 92.0 ; 43.1 ; 36.2 ; 44.1 ; 29.5 ; 43.7 ; 57.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3405;Jonschwil;21.388; 22.3 ; 21.5 ; 31.1 ; 16.6 ; 7.1 ; 21.8 ; 10.3 ; 6.8 ; 14.1 ; 28.1 ; 23.1 ; 49.4 ; 45.0 ; 33.7 ; 1.6 ; 19.7 ; 5.3 ; 17.7 ; 12.4 ; 24.6 ; 11.6 ; 13.9 ; 18.4 ; 20.7 ; 15.9 ; 23.6 ; 23.4 ; 58.6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3422;Niederbüren;8.355; 9.1 ; 6.0 ; 4.2 ; 6.2 ; 7.8 ; 7.0 ; 8.3 ; 7.8 ; 9.3 ; 13.2 ; 12.2 ; 8.6 ; 8.3 ; 3.7 ; 4.6 ; 4.3 ; 7.8 ; 6.3 ; 6.6 ; 4.2 ; 4.9 ; 6.8 ; 12.5 ; 11.2 ; 6.8 ; 6.1 ; 13.6 ; 13.2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3423;Niederhelfenschwil;13.659; 14.8 ; 14.5 ; 17.7 ; 13.4 ; 21.0 ; 21.4 ; 18.5 ; 19.7 ; 11.6 ; 8.0 ; 16.9 ; 15.5 ; 10.4 ; 5.3 ; 9.1 ; 12.4 ; 10.7 ; 11.9 ; 9.1 ; 6.7 ; 7.9 ; 13.2 ; 8.5 ; 15.8 ; 12.7 ; 13.6 ; 19.8 ; 21.8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
