BFS-Nr.;Räumliche Ebene;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3213;Goldach;43.548; 47.0 ; 44.4 ; 37.9 ; 56.0 ; 57.6 ; 34.6 ; 24.7 ; 27.0 ; 27.5 ; 25.3 ; 41.7 ; 35.9 ; 38.4 ; 30.9 ; 48.8 ; 29.8 ; 49.3 ; 31.9 ; 39.8 ; 25.0 ; 19.8 ; 39.3 ; 40.8 ; 48.0 ; 51.9 ; 43.5 ; 50.5 ; 46.0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3214;Mörschwil;30.567; 32.7 ; 26.4 ; 28.2 ; 32.6 ; 18.1 ; 13.3 ; 6.9 ; 15.1 ; 27.7 ; 33.3 ; 21.2 ; 22.4 ; 25.5 ; 28.2 ; 22.1 ; 16.4 ; 11.2 ; 12.7 ; 10.2 ; 10.2 ; 28.6 ; 31.8 ; 23.4 ; 13.9 ; 14.4 ; 18.6 ; 29.7 ; 25.7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3215;Rorschach;32.351; 28.9 ; 34.3 ; 32.9 ; 47.1 ; 58.6 ; 36.6 ; 30.4 ; 17.3 ; 49.2 ; 81.9 ; 115.4 ; 43.0 ; 42.2 ; 16.5 ; 25.6 ; 27.5 ; 40.0 ; 16.4 ; 39.1 ; 31.4 ; 34.2 ; 37.3 ; 22.3 ; 22.3 ; 21.4 ; 31.7 ; 31.7 ; 64.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3216;Rorschacherberg;15.227; 28.3 ; 33.7 ; 34.2 ; 36.3 ; 36.9 ; 40.1 ; 19.9 ; 36.1 ; 43.0 ; 29.0 ; 31.4 ; 25.6 ; 30.4 ; 23.4 ; 12.7 ; 19.5 ; 9.8 ; 28.3 ; 20.6 ; 8.1 ; 13.5 ; 11.5 ; 20.4 ; 23.0 ; 23.4 ; 12.1 ; 31.8 ; 14.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3217;Steinach;18.083; 16.8 ; 25.2 ; 18.5 ; 15.2 ; 6.5 ; 21.0 ; 19.9 ; 10.7 ; 32.0 ; 34.9 ; 11.0 ; 12.9 ; 32.5 ; 24.8 ; 10.6 ; 4.3 ; 1.6 ; 4.6 ; 11.9 ; 11.5 ; 16.7 ; 33.0 ; 15.9 ; 11.8 ; 14.3 ; 19.7 ; 29.8 ; 16.6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3237;Thal;89.889; 41.7 ; 44.7 ; 25.9 ; 42.3 ; 37.9 ; 39.2 ; 31.3 ; 11.2 ; 37.1 ; 52.7 ; 31.2 ; 18.3 ; 12.7 ; 21.5 ; 27.6 ; 22.0 ; 9.8 ; 35.6 ; 15.1 ; 32.0 ; 28.8 ; 28.9 ; 45.2 ; 45.4 ; 36.5 ; 13.7 ; 44.6 ; 42.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3218;Tübach;5.775; 2.3 ; 15.7 ; 19.2 ; 10.8 ; 3.3 ; 9.8 ; 11.4 ; 12.6 ; 8.6 ; 14.8 ; 8.9 ; 3.0 ; 5.5 ; 5.0 ; 6.2 ; 4.4 ; 5.4 ; 2.1 ; 5.4 ; 2.7 ; 7.2 ; 4.9 ; 2.9 ; 6.8 ; 8.4 ; 19.3 ; 1.2 ; 1.9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3219;Untereggen;3.887; 6.4 ; 3.3 ; 0.1 ; -   ; 4.2 ; 4.0 ; 3.0 ; 2.3 ; 7.6 ; 5.1 ; 7.7 ; 8.9 ; 4.6 ; 3.3 ; 1.9 ; 2.2 ; 1.7 ; 2.4 ; 4.3 ; 5.4 ; 7.8 ; 11.0 ; 10.3 ; 12.0 ; 2.9 ; 3.5 ; 2.3 ; 4.4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1723;Wahlkreis Rheintal;341.829; 418.0 ; 430.6 ; 387.2 ; 340.0 ; 318.8 ; 337.8 ; 349.1 ; 331.3 ; 355.2 ; 379.9 ; 285.2 ; 362.6 ; 331.5 ; 398.1 ; 363.2 ; 304.2 ; 290.0 ; 259.1 ; 264.3 ; 240.8 ; 247.8 ; 230.6 ; 215.0 ; 228.8 ; 274.8 ; 293.2 ; 308.3 ; 364.4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
