Anlieferungsdatum,Gewicht in Tonnen
2019-08-21 00:00:00+00:00,658.24
2019-08-22 00:00:00+00:00,1454.84
2019-08-23 00:00:00+00:00,408.8
2019-08-24 00:00:00+00:00,753.6666666666667
2019-08-25 00:00:00+00:00,1098.5333333333335
2019-08-26 00:00:00+00:00,1443.4
2019-08-27 00:00:00+00:00,2819.22
2019-08-28 00:00:00+00:00,2211.92
2019-08-29 00:00:00+00:00,1093.08
2019-08-30 00:00:00+00:00,1414.4
2019-08-31 00:00:00+00:00,1504.6666666666667
2019-09-01 00:00:00+00:00,1594.9333333333334
2019-09-02 00:00:00+00:00,1685.2
2019-09-03 00:00:00+00:00,2540.66
2019-09-04 00:00:00+00:00,1894.5
2019-09-05 00:00:00+00:00,1379.88
2019-09-06 00:00:00+00:00,1065.1
2019-09-07 00:00:00+00:00,865.3599999999999
2019-09-08 00:00:00+00:00,665.6199999999999
2019-09-09 00:00:00+00:00,465.88
2019-09-10 00:00:00+00:00,1429.5
2019-09-11 00:00:00+00:00,677.1
2019-09-12 00:00:00+00:00,754.82
2019-09-13 00:00:00+00:00,434.22
2019-09-14 00:00:00+00:00,675.3000000000001
2019-09-15 00:00:00+00:00,916.3800000000001
2019-09-16 00:00:00+00:00,1157.46
2019-09-17 00:00:00+00:00,512.98
2019-09-18 00:00:00+00:00,1811.78
2019-09-19 00:00:00+00:00,1567.24
2019-09-20 00:00:00+00:00,2285.52
2019-09-21 00:00:00+00:00,1824.9933333333333
2019-09-22 00:00:00+00:00,1364.4666666666667
2019-09-23 00:00:00+00:00,903.94
2019-09-24 00:00:00+00:00,1133.3
2019-09-25 00:00:00+00:00,971.44
2019-09-26 00:00:00+00:00,2054.46
2019-09-27 00:00:00+00:00,1065.34
2019-09-28 00:00:00+00:00,1052.0
2019-09-29 00:00:00+00:00,1038.6599999999999
2019-09-30 00:00:00+00:00,1025.32
2019-10-01 00:00:00+00:00,1574.96
2019-10-02 00:00:00+00:00,1331.56
2019-10-03 00:00:00+00:00,779.26
2019-10-04 00:00:00+00:00,1098.72
2019-10-05 00:00:00+00:00,1105.6933333333334
2019-10-06 00:00:00+00:00,1112.6666666666667
2019-10-07 00:00:00+00:00,1119.64
2019-10-08 00:00:00+00:00,1025.18
2019-10-09 00:00:00+00:00,221.28
2019-10-10 00:00:00+00:00,305.02
2019-10-11 00:00:00+00:00,954.0
2019-10-12 00:00:00+00:00,938.68
2019-10-13 00:00:00+00:00,923.36
2019-10-14 00:00:00+00:00,908.04
2019-10-15 00:00:00+00:00,1395.24
2019-10-16 00:00:00+00:00,1373.48
2019-10-17 00:00:00+00:00,1363.04
2019-10-18 00:00:00+00:00,1112.3
