Anlieferungsdatum,Gesamtgewicht,Trend,Seasonal,Residual
2021-05-12 00:00:00+00:00,232.18,1040.4259999999997,-61.570091459591026,-746.6759085404086
2021-05-13 00:00:00+00:00,172.28,1040.285506849315,-172.98009387272137,-695.0254129765937
2021-05-14 00:00:00+00:00,112.38,1040.5970684931506,-303.2964086146188,-624.9206598785318
2021-05-15 00:00:00+00:00,189.28,1042.2065479452053,-402.7652311190733,-450.16131682613207
2021-05-16 00:00:00+00:00,266.18,1042.975105022831,-324.18130293859616,-452.6138020842348
2021-05-17 00:00:00+00:00,343.08,1042.9027397260272,-298.62406699556215,-401.19867273046515
2021-05-18 00:00:00+00:00,118.6,1044.6594246575341,-320.1612584497882,-605.8981662077459
2021-05-19 00:00:00+00:00,293.94,1044.6876438356164,-449.93543985835225,-300.8122039772641
2021-05-20 00:00:00+00:00,2119.74,1045.6665479452054,-14.898561906185842,1088.9720139609803
2021-05-21 00:00:00+00:00,1691.82,1044.544712328767,-10.675495826165411,657.9507834973983
2021-05-22 00:00:00+00:00,1608.2849999999999,1044.8199452054794,132.13659217166318,431.3284626228573
2021-05-23 00:00:00+00:00,1524.75,1045.0749406392692,244.43882446172933,235.23623489900143
2021-05-24 00:00:00+00:00,1441.2150000000001,1045.3096986301368,-238.97289028016795,634.8781916500312
2021-05-25 00:00:00+00:00,1357.68,1044.3691506849311,-98.97161506772741,412.2824643827963
2021-05-26 00:00:00+00:00,1194.98,1043.8801643835614,-46.59580743519571,197.69564305163436
2021-05-27 00:00:00+00:00,351.88,1043.101534246575,-138.72368473417072,-552.4978495124044
2021-05-28 00:00:00+00:00,1866.1,1039.5022465753425,437.3211283778131,389.2766250468443
2021-05-29 00:00:00+00:00,1433.3066666666666,1037.7595616438355,359.1069643208472,36.44014070198392
2021-05-30 00:00:00+00:00,1000.5133333333333,1036.01601826484,432.3988742364842,-467.90155916799097
2021-05-31 00:00:00+00:00,567.72,1034.2716164383562,359.80188826170996,-826.3535047000662
2021-06-01 00:00:00+00:00,649.02,1032.5645479452053,318.1172931545158,-701.6618410997211
2021-06-02 00:00:00+00:00,1181.22,1031.908547945205,230.35628526193352,-81.0448332071386
2021-06-03 00:00:00+00:00,1379.4,1031.2385753424658,263.56354129629176,84.59788336124257
2021-06-04 00:00:00+00:00,1076.14,1028.5263561643835,-90.89981362825407,138.51345746387065
2021-06-05 00:00:00+00:00,837.7666666666668,1028.0343013698628,-28.85967631535682,-161.4079583878392
2021-06-06 00:00:00+00:00,599.3933333333334,1028.9328127853878,-120.90973443624964,-308.6297450158047
2021-06-07 00:00:00+00:00,361.02,1031.2218904109588,-133.0553514612522,-537.1465389497066
2021-06-08 00:00:00+00:00,798.12,1032.7226849315066,223.72372831739835,-458.32641324890494
2021-06-09 00:00:00+00:00,902.3,1032.3146849315067,112.03558617824075,-242.05027110974748
2021-06-10 00:00:00+00:00,1908.56,1032.7930958904105,282.9676960938777,592.7992080157117
2021-06-11 00:00:00+00:00,1094.71,1037.5133698630132,-45.50733097678678,102.70396111377366
2021-06-12 00:00:00+00:00,1303.6333333333334,1042.7769863013693,196.91132597081355,63.945021061150555
2021-06-13 00:00:00+00:00,1512.5566666666666,1048.3003105022829,230.59489798690691,233.66145817747685
2021-06-14 00:00:00+00:00,1721.48,1054.0833424657533,625.8247768523153,41.571880681931475
2021-06-15 00:00:00+00:00,1196.95,1057.464109589041,501.0416328866736,-361.5557424757146
2021-06-16 00:00:00+00:00,1558.6200000000001,1058.8030684931507,283.0907555876987,216.7261759191507
2021-06-17 00:00:00+00:00,2730.6,1060.9612602739726,535.7786417590432,1133.860097966984
2021-06-18 00:00:00+00:00,2594.46,1060.0175890410956,454.81201834134686,1079.6303926175576
2021-06-19 00:00:00+00:00,2724.7400000000002,1062.3555616438352,353.30354469533984,1309.080893660825
2021-06-20 00:00:00+00:00,2855.02,1065.0598538812783,296.17038794430994,1493.7897581744119
2021-06-21 00:00:00+00:00,2985.3,1068.1304657534242,493.05053895583717,1424.118995290739
2021-06-22 00:00:00+00:00,1488.86,1070.3717808219174,142.73646165686222,275.7517575212203
2021-06-23 00:00:00+00:00,1681.52,1071.0630684931502,-12.90301472887079,623.3599462357205
2021-06-24 00:00:00+00:00,909.38,1071.223835616438,-300.8170902013618,138.97325458492378
2021-06-25 00:00:00+00:00,690.6800000000001,1072.2752054794519,-185.14131544554235,-196.45389003390946
2021-06-26 00:00:00+00:00,734.2800000000001,1073.1249589041092,-208.68902379474554,-130.1559351093636
2021-06-27 00:00:00+00:00,777.88,1073.7730958904108,11.893560093493988,-307.7866559839048
2021-06-28 00:00:00+00:00,821.48,1074.2196164383558,74.62442343378844,-327.36403987214425
2021-06-29 00:00:00+00:00,342.94,1074.609936073059,-60.96976710719589,-670.7001689658631
2021-06-30 00:00:00+00:00,1564.04,1074.904931506849,278.1860770550164,210.9489914381346
2021-07-01 00:00:00+00:00,508.1,1075.2071780821914,-277.412336317018,-289.69484176517335
2021-07-02 00:00:00+00:00,2741.48,1075.6797945205476,308.01984026528555,1357.780365214167
2021-07-03 00:00:00+00:00,2534.2533333333336,1076.102726027397,201.05223842975573,1257.0983688761808
2021-07-04 00:00:00+00:00,2327.0266666666666,1076.4759726027396,270.2919242745046,980.2587697894224
2021-07-05 00:00:00+00:00,2119.8,1076.799534246575,363.9297142288426,679.0707515245826
2021-07-06 00:00:00+00:00,1742.68,1076.3481369863011,569.3343403475639,96.99752266613507
2021-07-07 00:00:00+00:00,236.68,1076.4127397260272,-259.29619736933114,-580.436542356696
2021-07-08 00:00:00+00:00,347.46,1077.1914246575338,-324.1892322551758,-405.542192402358
2021-07-09 00:00:00+00:00,463.96,1076.9448493150683,-35.64691773462805,-577.3379315804402
2021-07-10 00:00:00+00:00,655.2866666666666,1077.608812785388,87.49678272199307,-509.8189288407144
2021-07-11 00:00:00+00:00,846.6133333333333,1078.5258356164381,-44.77756248348633,-187.13493979961848
2021-07-12 00:00:00+00:00,1037.94,1079.6959178082188,-89.83813965243613,48.082221844217344
2021-07-13 00:00:00+00:00,240.72,1083.3725753424656,-351.2778406570024,-491.3747346854631
2021-07-14 00:00:00+00:00,868.62,1084.7920273972602,220.213699069025,-436.3857264662852
2021-07-15 00:00:00+00:00,339.94,1086.225835616438,-61.52384978942246,-684.7619858270155
2021-07-16 00:00:00+00:00,317.86,1088.485616438356,-59.466589515449826,-711.159026922906
2021-07-17 00:00:00+00:00,382.66666666666663,1088.1557351598171,-216.8883648579156,-488.60070363523494
2021-07-18 00:00:00+00:00,447.4733333333333,1084.850547945205,-146.29554659307541,-491.08166801879634
2021-07-19 00:00:00+00:00,512.28,1078.4676712328767,-222.60322147892023,-343.5844497539565
2021-07-20 00:00:00+00:00,1452.92,1068.3078904109586,225.17853559870542,159.43357399033601
2021-07-21 00:00:00+00:00,1626.46,1060.3784904109586,30.195857973134615,535.8856516159068
2021-07-22 00:00:00+00:00,1534.66,1050.65657260274,16.225841534778326,467.77758586248177
2021-07-23 00:00:00+00:00,1334.27,1040.4880246575347,114.14838582701572,179.63358951544961
2021-07-24 00:00:00+00:00,1069.4866666666667,1033.75458173516,39.02804792747243,-3.295962995965695
2021-07-25 00:00:00+00:00,804.7033333333334,1028.6118602739728,-221.46369088531296,-2.4448360553264195
2021-07-26 00:00:00+00:00,539.9200000000001,1025.0598602739728,-425.0049639446737,-60.13489632929907
2021-07-27 00:00:00+00:00,934.34,1022.8105452054797,-182.11511554284724,93.64457033736758
2021-07-28 00:00:00+00:00,165.06,1016.7793123287673,-277.335298191249,-574.3840141375183
2021-07-29 00:00:00+00:00,1239.68,1012.7437506849317,-247.08357946978782,474.0198287848562
2021-07-30 00:00:00+00:00,1021.92,1011.4226547945207,-46.01091736933129,56.50826257481058
2021-07-31 00:00:00+00:00,902.28,1011.7602255707764,-136.81970367070102,27.339478099924634
2021-08-01 00:00:00+00:00,782.64,1012.448280365297,-242.01146348805273,12.20318312275569
2021-08-02 00:00:00+00:00,663.0,1013.4868191780823,-346.84213837389746,-3.6446808041848726
2021-08-03 00:00:00+00:00,640.94,1012.9762986301372,-344.74677946978784,-27.2895191603493
2021-08-04 00:00:00+00:00,147.7,1012.837284931507,-457.77069545152295,-407.36658947998416
2021-08-05 00:00:00+00:00,1084.3,1015.1473123287673,127.119806831582,-57.96711916034931
2021-08-06 00:00:00+00:00,854.7,1017.3406821917811,-183.29120321408007,20.650521022299046
2021-08-07 00:00:00+00:00,1092.5,1018.8397324200917,-138.35214933280153,212.01241691270988
2021-08-08 00:00:00+00:00,1330.3,1019.4414310502285,-87.42926714102079,398.2878360907922
2021-08-09 00:00:00+00:00,1568.1,1019.1457780821921,-97.37718677572396,646.3314086935318
2021-08-10 00:00:00+00:00,2375.52,1019.3466547945209,155.18450820144503,1200.9888370040342
2021-08-11 00:00:00+00:00,2419.7,1019.8832575342469,266.881414137518,1132.9353283282348
2021-08-12 00:00:00+00:00,2141.06,1020.1838602739729,295.2058086580659,825.6703310679611
